user_id,local_date_str,datetime,energy_consumption_kwh
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T14:00:00,0.16
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T14:00:00,0.08
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T14:00:00,0.52
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T14:00:00,0.11
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T14:00:00,0.17
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T14:00:00,0.36
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T14:00:00,0.28
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T15:00:00,0.15
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T15:00:00,0.09
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T15:00:00,0.49
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T15:00:00,0.11
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T15:00:00,0.11
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T15:00:00,0.29
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T15:00:00,0.21
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T16:00:00,0.11
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T16:00:00,0.09
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T16:00:00,0.51
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T16:00:00,0.09
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T16:00:00,0.18
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T16:00:00,0.27
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T16:00:00,0.2
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T17:00:00,0.84
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T17:00:00,0.08
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T17:00:00,0.51
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T17:00:00,0.08
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T17:00:00,0.14
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T17:00:00,0.21
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T17:00:00,0.17
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T18:00:00,0.09
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T18:00:00,0.1
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T18:00:00,0.86
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T18:00:00,0.08
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T18:00:00,0.18
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T18:00:00,1.46
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T18:00:00,0.16
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T19:00:00,0.17
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T19:00:00,0.08
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T19:00:00,0.53
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T19:00:00,0.1
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T19:00:00,0.2
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T19:00:00,2.18
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T19:00:00,0.19
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T20:00:00,0.14
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T20:00:00,0.11
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T20:00:00,0.54
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T20:00:00,0.66
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T20:00:00,0.18
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T20:00:00,1.6
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T20:00:00,0.59
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-13,2022-07-13T21:00:00,0.9
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-13,2022-07-13T21:00:00,0.07
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-13,2022-07-13T21:00:00,1.22
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-13,2022-07-13T21:00:00,0.48
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-13,2022-07-13T21:00:00,0.93
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-13,2022-07-13T21:00:00,0.54
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-13,2022-07-13T21:00:00,0.38
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-13T22:00:00,0.14
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-13T22:00:00,0.12
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-14,2022-07-13T22:00:00,0.71
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-14,2022-07-13T22:00:00,0.3
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-14,2022-07-13T22:00:00,0.55
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-14,2022-07-13T22:00:00,0.46
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-14,2022-07-13T22:00:00,0.38
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-13T23:00:00,0.13
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-13T23:00:00,0.07
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-14,2022-07-13T23:00:00,0.53
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-14,2022-07-13T23:00:00,0.27
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-14,2022-07-13T23:00:00,0.51
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-14,2022-07-13T23:00:00,0.33
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-14,2022-07-13T23:00:00,0.18
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-14T00:00:00,0.15
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-14T00:00:00,0.11
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-14,2022-07-14T00:00:00,0.5
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-14,2022-07-14T00:00:00,0.21
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-14,2022-07-14T00:00:00,0.33
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-14,2022-07-14T00:00:00,0.46
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-14,2022-07-14T00:00:00,0.21
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-14T01:00:00,0.11
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-14T01:00:00,0.08
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-14,2022-07-14T01:00:00,0.5
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-14,2022-07-14T01:00:00,0.21
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-14,2022-07-14T01:00:00,0.25
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-14,2022-07-14T01:00:00,0.32
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-14,2022-07-14T01:00:00,0.2
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-14T02:00:00,0.16
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-14T02:00:00,0.1
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-14,2022-07-14T02:00:00,0.46
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-14,2022-07-14T02:00:00,0.16
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-14,2022-07-14T02:00:00,0.19
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-14,2022-07-14T02:00:00,0.32
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-14,2022-07-14T02:00:00,0.2
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-14T03:00:00,0.1
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-14T03:00:00,0.08
user-8647f405-0e74-4dfd-8e54-9be990fb982e,2022-07-14,2022-07-14T03:00:00,0.47
user-eaf05183-e8dd-4661-9d2d-4f778f9070c2,2022-07-14,2022-07-14T03:00:00,0.2
user-4b836cfb-3ff5-4917-aa81-e78b078ce661,2022-07-14,2022-07-14T03:00:00,0.16
user-ee5ab54c-420b-4814-a301-090bd6617318,2022-07-14,2022-07-14T03:00:00,0.31
user-8447aac9-8102-41bb-b354-7bf7717cf8e2,2022-07-14,2022-07-14T03:00:00,0.16
user-438a87c4-ac07-4d97-9d82-b4b3ef3973f7,2022-07-14,2022-07-14T04:00:00,0.15
user-44ece172-28d8-42f0-89ed-de9be7838ed4,2022-07-14,2022-07-14T04:00:00,0.1
